,text,gpt_out
0,"sideways facing to the right with a point sticking out, straight diamond on top, flat on the bottom, looks like their knees are bent slightly, top half is a diamond hed and skinnish body arm sticking out right side, at a point","['sideways facing to the right with a point sticking out', 'straight diamond on top, flat on the bottom', 'looks like their knees are bent slightly', 'top half is a diamond head and skinnish body', 'arm sticking out right side, at a point']"
1,"diamond head that is straight arm point out to the right, bottom half is flat along the base and then goes at an angle on the right, from the bottom on the left it goes up straight and then into a point that goes down rightwards, body is like almost half triangle on the left, diamond head, point to the left just below head, arm shaped point on the right","['diamond head that is straight arm point out to the right', 'bottom half is flat along the base and then goes at an angle on the right', 'from the bottom on the left it goes up straight and then into a point that goes down rightwards', 'body is like almost half triangle on the left', 'diamond head, point to the left just below head', 'arm shaped point on the right']"
2,"head shapes is on the left side at an angle, there is then a bit coming off to the right that is almost triangle like, there is a small split between the 'body' and the triangle shape on the right, body goes down think, then goes to a very thin line into a triangle on the right, on the left it is fatter and like a backwards L shape almost","['head shapes is on the left side at an angle', 'there is then a bit coming off to the right that is almost triangle like', 'there is a small split between the body and the triangle shape on the right', 'body goes down think', 'then goes to a very thin line into a triangle on the right', 'on the left it is fatter and like a backwards L shape almost']"
3,"diamond head in the middle, fat body, small point on the right side of the top of the body, body fat most of the way down, with a bit chunked out on the right hand side, at the bottom, straight all the way down on the left side of the 'body', yes like a square missing a bit of the right side and a diamond on top, left side straight","['diamond head in the middle', 'fat body', 'small point on the right side of the top of the body', 'body fat most of the way down', 'with a bit chunked out on the right hand side', 'at the bottom, straight all the way down on the left side of the body', 'like a square missing a bit of the right side and a diamond on top', 'left side straight']"
4,"bottom is like a triangle, flat along bottom, straight up the left side, looks like a kind of windmill fan on top, two triangles and a square bit making a kind of windmill shape on top, big triangle on the bottom with a little bit of a different line edge on the right side, no tiny triangle, big triangle style base, then a square, and 2 triangles","['bottom is like a triangle', 'flat along bottom', 'straight up the left side', 'looks like a kind of windmill fan on top', 'two triangles and a square bit making a kind of windmill shape on top', 'big triangle on the bottom with a little bit of a different line edge on the right side', 'no tiny triangle', 'big triangle style base', 'then a square', 'and 2 triangles']"
5,"diamond head, long body with not much shape, slight flick out on the right hand side at the bottom, dyes diamond head, then 3 sides on the left, the base, then4 on right, back to the head","['diamond head', 'long body with not much shape', 'slight flick out on the right hand side at the bottom', 'dyes diamond head', '3 sides on the left', 'the base', '4 on right', 'back to the head']"
6,"looks like he has 2 legs with feet, facing left, one raised in the air, then a body, diamond head tilted to the right, pointed fatter chunk coming out the left side into a point","['2 legs with feet, facing left, one raised in the air', 'body', 'diamond head tilted to the right', 'pointed fatter chunk coming out the left side into a point']"
7,"this one is like a person who could be ice skating,facing to the left, one foot on the ground, one foot out behind to the right that is triangle shaped, diamond head on the left side, 2 pointed bits a bit like arms, on the left","['a person who could be ice skating', 'facing to the left', 'one foot on the ground', 'one foot out behind to the right that is triangle shaped', 'diamond head on the left side', '2 pointed bits a bit like arms', 'on the left']"
8,"diamond head shape in the middle, body is straight down on the right side and the bottom is flat, left side goes down from the diamond, and has almost like a square, a bit like someone stood sideways holding something, yes like a side profile holding a dish or tray, pillar like body","['diamond head shape in the middle', 'body is straight down on the right side and the bottom is flat', 'left side goes down from the diamond', 'almost like a square', 'a bit like someone stood sideways holding something', 'like a side profile holding a dish or tray', 'pillar like body']"
9,"diamond head, triangle coming of the head to the right, sides are not totally straight anywhere, bottom left has a almost triangle, ever so slightly higher than the bottom, so diamond head at the top, triangle attached at the right side to the head","['diamond head', 'triangle coming of the head to the right', 'sides are not totally straight anywhere', 'bottom left has a almost triangle', 'ever so slightly higher than the bottom', 'diamond head at the top', 'triangle attached at the right side to the head']"
10,"this one looks like a side profile of someone sitting facing the left, the their knees slightly bent and heel touching the floor, diamond shaped head at the bop, top","['side profile of someone sitting facing the left', 'knees slightly bent and heel touching the floor', 'diamond shaped head at the top']"
11,"like halving to arm in the air, either side of the 'head', diamond head in the middle, left 'arm' has a flat top, right 'arm has a point'","['halving to arm in the air', ""either side of the 'head'"", ""diamond head in the middle"", ""left 'arm' has a flat top"", ""right 'arm' has a point""]"
12,"a bit like someone kneeling a praying, facing towards the right there is a 2 similar this one has a flat base that goes straight up on the left and then makes a triangle point, diamond head","['someone kneeling and praying', 'facing towards the right', 'a 2 similar this one has a flat base that goes straight up on the left', 'makes a triangle point', 'diamond head']"
13,"again a bit like a person praying but with knees bent, facing to the right, diamond head at the top, and a pointed 'arm' coming out to the right","['a person praying but with knees bent, facing to the right, diamond head at the top, and a pointed arm coming out to the right']"
14,"two legs facing to the left with feet, one leg raised, diamond head hanging to the right","['two legs facing to the left with feet', 'one leg raised', 'diamond head hanging to the right']"
15,"2 triangles at the top and then a square, a bit like a windmill fan, this goes onto the base,, which is like a triangle, right side of triangle is not level","['2 triangles at the top', 'a square, a bit like a windmill fan', 'this goes onto the base', 'which is like a triangle', 'right side of triangle is not level']"
16,"person facing to the left, diamond head, looks like they are holding the tray, plate, book etc","['person facing to the left', 'diamond head', 'looks like they are holding the tray, plate, book etc']"
17,"diamond head, with triangle coming out to the right, base is all odd shapes","['diamond head', 'triangle coming out to the right', 'base is all odd shapes']"
18,like a man with his arms in the air either side of his head,['a man with his arms in the air either side of his head']
19,"ice skating looking person, facing to the left, one leg out behind","['ice skating looking person', 'facing to the left', 'one leg out behind']"
20,"the base looks like the chunky backwards L, with a upside down triangle on the right side, diamond is hanging to the left","['the base looks like the chunky backwards L', 'upside down triangle on the right side', 'diamond is hanging to the left']"
21,"diamond head with the long body downwards, slight flick shape to the bottom right, head is centre like a diamond","['diamond head with the long body downwards', 'slight flick shape to the bottom right', 'head is centre like a diamond']"
22,"like a person sitting facing to the left, knees bent, heel touching the ground","['a person sitting facing to the left, knees bent, heel touching the ground']"
23,"diamond head in the middle at the top, body like a big square with part of the right side missing","['diamond head in the middle at the top', 'body like a big square with part of the right side missing']"
