,text,gpt_out
0,"a person sitting with their head up, no limbs showing","['a person sitting with their head up, no limbs showing']"
1,an ice skater with their back foot in the air,['an ice skater with their back foot in the air']
2,"a person standing with arms outstretched; one arm is holding a cloth going down to the floor, standing straight, but one side you can see their outline, the other is covered, one side is the shape of a person, the other is a vertical line","['a person standing with arms outstretched', 'one arm is holding a cloth going down to the floor', 'standing straight', 'one side you can see their outline', 'the other is covered', 'one side is the shape of a person', 'the other is a vertical line']"
3,"the other person standing!, the incorrect one from the last go",['the other person standing']
4,"a person with both arms stretched upwards, leaning to the left","['a person with both arms stretched upwards, leaning to the left']"
5,"side view of a person kneeling, hands held up at chest height","['side view of a person kneeling, hands held up at chest height']"
6,"a person sitting or kneeling with arms out to the sides, possibly fee visible behind and left arms have sleeves hanging down towards body, front view, arms are held horizontally, gap between right arm and body","['a person sitting or kneeling with arms out to the sides', 'possibly fee visible behind and left arms have sleeves hanging down towards body', 'front view', 'arms are held horizontally', 'gap between right arm and body']"
7,side view of person kneeling with hands at chest height not the one described earlier - legs form a lightning shape,"['side view of person kneeling with hands at chest height', 'legs form a lightning shape']"
8,"a rabbit sitting down against a corner, looks like ears coming out of the square head","['a rabbit sitting down against a corner', 'looks like ears coming out of the square head']"
9,"a person sitting with arms behind them; one held down and one held up, head is to the left, legs to the left","['a person sitting with arms behind them; one held down and one held up, head is to the left, legs to the left']"
10,"stomping feet, head is not the highest point of the picture - maybe a shoulder is at the same height, both feet point left","['stomping feet', 'head is not the highest point of the picture - maybe a shoulder is at the same height', 'both feet point left']"
11,"person sitting, feet to the left, knees up, large body","['person sitting', 'feet to the left', 'knees up', 'large body']"
12,"diamond head on top, left side is completely vertical line; right side has what would be the arm sticking out","['diamond head on top', 'left side is completely vertical line', 'right side has what would be the arm sticking out']"
13,"diamond head on top, arms up to chest height, legs make a zigzag lightning shape","['diamond head on top', 'arms up to chest height', 'legs make a zigzag lightning shape']"
14,"diamond head on top, two triangular arms outstretched underneath person looks to be kneeling, no gap between arms, the arms are horizontally outstretched, not vertically, you can see a foot sticking out on the left side, yes, feet on bottom left","['diamond head on top', 'two triangular arms outstretched underneath', 'person looks to be kneeling', 'no gap between arms', 'the arms are horizontally outstretched, not vertically', 'you can see a foot sticking out on the left side', 'feet on bottom left']"
15,diamond head on top leaning a little to the left; person is sitting and legs are bent and to the left; very large body,"['diamond head on top leaning a little to the left', 'person is sitting and legs are bent and to the left', 'very large body']"
16,"this is the one that looks like a rabbit; the diamond head is topped with two triangles and the diamond head is atop a very large triangle, NA","['looks like a rabbit', 'diamond head is topped with two triangles', 'diamond head is atop a very large triangle']"
17,the one that looks like an ice skater with his leg up and behind him,['an ice skater with his leg up and behind him']
18,diamond head on top; no limbs can be seen; person looks to be kneeling,"['diamond head on top', 'no limbs can be seen', 'person looks to be kneeling']"
19,diamond head on top; right side is completely vertical line; left side has arm slightly outstretched,"['diamond head on top', 'right side is completely vertical line', 'left side has arm slightly outstretched']"
20,"diamond head on top; arms are outstretched and entire figure is leaning to the left, yes, upward","['diamond head on top', 'arms are outstretched', 'entire figure is leaning to the left', 'upward']"
21,diamond head is almost on back and on right side of body; both feet are pointing left,"['diamond head is almost on back and on right side of body', 'both feet are pointing left']"
22,the other figure with the arms at chest level; not the one with the lightning shaped feet,['the other figure with the arms at chest level']
23,the one with the diamond head on the left side; arms are outstretched vertically on the right side of the body,"['the one with the diamond head on the left side', 'arms are outstretched vertically on the right side of the body']"
24,"the ice skater, arms to the left, one foot down, one foot to the right","['the ice skater', 'arms to the left', 'one foot down', 'one foot to the right']"
25,bunny in a tent,['bunny in a tent']
26,"sad guy with square backpack, feet to the left","['sad guy with square backpack, feet to the left']"
27,"large body guy sitting on floor, feet to the left, NA, NA, no limbs","['large body guy sitting on floor, feet to the left, no limbs']"
28,"standing at counter; right side is vertical line, left side has protrusions","['right side is vertical line', 'left side has protrusions']"
29,"ponytail girl sitting diamond head on what blocky body, feet to the left, triangle attached at base of diamond head to the right, arm on left is fully attached to body","['ponytail girl sitting', 'diamond head on what blocky body', 'feet to the left', 'triangle attached at base of diamond head to the right', 'arm on left is fully attached to body']"
30,"kneeling body, fully kneeling, not the lightning one, arms to the right","['kneeling body', 'fully kneeling', 'not the lightning one', 'arms to the right']"
31,"kneeling body, no visible arms or feet, just head and body","['kneeling body', 'no visible arms or feet', 'just head and body']"
32,squatting body; lightning legs,"['squatting body', 'lightning legs']"
33,"man sitting in the k-chair, k shaped protrusions on the right side","['man sitting in the k-chair', 'k shaped protrusions on the right side']"
34,waving for a taxi; left side is vertical line; arm to the right,"['waving for a taxi', 'left side is vertical line', 'arm to the right']"
35,"celebrating man; leaning to the left, arms pointing up","['celebrating man', 'leaning to the left', 'arms pointing up']"
36,"sitting with no limbs visible, triangle at the bottom pointing right could be feet, no arms","['sitting with no limbs visible', 'triangle at the bottom pointing right could be feet', 'no arms']"
37,celebrating with arms held up; leaning left,"['celebrating with arms held up', 'leaning left']"
38,kneeling down with zigzag lightning legs; hands out to the right,"['kneeling down with zigzag lightning legs', 'hands out to the right']"
39,stomping feet pointing left; square backpack on right; nose pointing down on left,"['stomping feet pointing left', 'square backpack on right', 'nose pointing down on left']"
40,standing at counter with hands held at chest height to oleft; right side is a vertical line,"['standing at counter with hands held at chest height to left', 'right side is a vertical line']"
41,rabbit sitting in the corner,['rabbit sitting in the corner']
42,"standing, arms outstretched; left side is vertical line","['standing, arms outstretched', 'left side is vertical line']"
43,"sitting or kneeling; head has point up; gap between triangle on right and body, ponytail, small triangle foot on bottom left","['sitting or kneeling', 'head has point up', 'gap between triangle on right and body', 'ponytail', 'small triangle foot on bottom left']"
44,"large body sitting facing left, knees pointing up, large body","['large body sitting facing left, knees pointing up, large body']"
45,kneeling with hands to right but not zigzag legs,['kneeling with hands to right but not zigzag legs']
46,"sitting with head and legs to left, arms to right in K shape","['sitting with head and legs to left, arms to right in K shape']"
47,ice skater,['ice skater']
48,"kneeling, no limbs, large body and head only","['kneeling', 'no limbs', 'large body and head only']"
49,large body sitting with legs to the left,['large body sitting with legs to the left']
50,k shaped arms on right,['k shaped arms on right']
51,kneeling with arms at chest height but NO zigzag legs,['kneeling with arms at chest height']
52,"sad guy with backpack, legs to the left","['sad guy with backpack, legs to the left']"
53,"kneeling with head tilted to right; arms outstretched horizontally, small triangle on left, looks like a foot","['kneeling with head tilted to right', 'arms outstretched horizontally', 'small triangle on left, looks like a foot']"
54,kneeling with arms chest height and zigzag legs,['kneeling with arms chest height and zigzag legs']
55,rabbit in corner,['rabbit in corner']
56,guy at podium; completely vertical line on right side,"['guy at podium', 'completely vertical line on right side']"
57,completely vertical line on left side,['completely vertical line on left side']
58,guy celebrating with arms upward and leaning to left,['guy celebrating with arms upward and leaning to left']
59,"ice skater, one leg down and one leg up","['ice skater', 'one leg down', 'one leg up']"
60,sad guy with square backpack,['sad guy with square backpack']
61,"celebrating guy, leaning to the left, arms pointing up","['celebrating guy', 'leaning to the left', 'arms pointing up']"
62,"guy at podium, right side vertical line","['guy at podium', 'right side vertical line']"
63,"kneeling guy, arms at chest height, no zigzag legs","['kneeling guy', 'arms at chest height', 'no zigzag legs']"
64,"squatting guy, zigzag legs","['squatting guy', 'zigzag legs']"
65,ice skater,['ice skater']
66,"ponytail girl; fully attached arm on left side, feet on bottom left; triangle attached only to diamond head on right side","['ponytail girl', 'fully attached arm on left side', 'feet on bottom left', 'triangle attached only to diamond head on right side']"
67,"large body sitting guy, knees up, feet to left","['large body sitting guy, knees up, feet to left']"
68,"kneeling guy; no limbs, only head and body, small triangular protrusion on bottom right","['kneeling guy', 'no limbs, only head and body', 'small triangular protrusion on bottom right']"
69,"standing guy, left side vertical line, arm on right","['standing guy', 'left side vertical line', 'arm on right']"
70,rabbit in corner,['rabbit in corner']
71,"guy sitting in the k-chair, k shaped arms on right side","['guy sitting in the k-chair', 'k shaped arms on right side']"
72,"this guy looks like he is falling forward, hands out, one foot back","['he is falling forward', 'hands out', 'one foot back']"
73,this looks like a blocky shape more than a person with a diamond on top not the one that looks like a bean,"['a blocky shape', 'a diamond on top']"
74,"assuming the diamond is the head, this figure looks like they are falling backwards wearing a long wedding dress train, with one foot forward, the head is tilted back, could be both arms up, there is like a triangle for the arm and a triangle for the foot","['they are falling backwards wearing a long wedding dress train', 'one foot forward', 'the head is tilted back', 'both arms up', 'there is like a triangle for the arm', 'a triangle for the foot']"
75,"this guy looks like he is sitting down against a wall head leaning forward like he's sad, back against the wall, yes just a little looks like he is sitting on his hands","['he is sitting down against a wall', 'head leaning forward like he\'s sad', 'back against the wall', 'looks like he is sitting on his hands']"
76,"this guys is kind of crouching about to fall to his knees with arms out like he's receiving something, NA, both knees are bent, his hands are out, his back is flat","['kind of crouching about to fall to his knees with arms out like he\'s receiving something', 'both knees are bent', 'his hands are out', 'his back is flat']"
77,"on his knees, head tilted down, back has a spike, looks like he could be puking into a bowl that is a triangle","['on his knees', 'head tilted down', 'back has a spike', 'looks like he could be puking into a bowl that is a triangle']"
78,"looks like he is begging for forgiveness on his knees hands out, head tilted up small triangle on the back","['begging for forgiveness on his knees hands out, head tilted up', 'small triangle on the back']"
79,"looks like the head is falling off backwards while he is walking and about to trip, one foot is up, the other straight","['the head is falling off backwards while he is walking and about to trip', 'one foot is up', 'the other straight']"
80,this one looks like a baby bean shape with a diamond on top for the head,['a baby bean shape with a diamond on top for the head']
81,"long dress train in the back, could be standing, there are two triangles for the head, square for torso, left almost looks like a wrench shape if you look at the black outlining the white YES, bunny ears are better","['long dress train in the back', 'two triangles for the head', 'square for torso', 'left almost looks like a wrench shape if you look at the black outlining the white', 'bunny ears are better']"
82,"this picture says ""meh, I don't care "" the guy has his hands up, leaning to the left no legs or feet showing","['the guy has his hands up, leaning to the left', 'no legs or feet showing']"
83,"this looks like a graduate receiving his diploma standing hands are out figure is facing left, yes, his whole body is facing left could look like he is holding a bowl with a towel draped from his arm too","['a graduate receiving his diploma standing', 'hands are out', 'figure is facing left', 'his whole body is facing left', 'could look like he is holding a bowl with a towel draped from his arm']"
84,"It's the guy about to fall on his knees, kind of crouching Back is flat, Facing right, arm held out to receive something","['the guy about to fall on his knees', 'kind of crouching', 'Back is flat', 'Facing right', 'arm held out to receive something']"
85,"Blocky guy, not bean, facing right with arm held out, Top and back are straight lines","['Blocky guy', 'facing right with arm held out', 'Top and back are straight lines']"
86,"Falling forward, or maybe a figure skater Facing left, two arms held out, one foot pointing back","['Falling forward', 'figure skater', 'Facing left', 'two arms held out', 'one foot pointing back']"
87,"Well done! It's the guy leaning against a wall, facing left, head tilted down, knees up","['the guy leaning against a wall, facing left, head tilted down, knees up']"
88,"Bunny-eared guy leaning against wall, facing right, head slightly down","['Bunny-eared guy leaning against wall, facing right, head slightly down']"
89,"Looks to me like a woman in a kimono, sitting on her knees, with her arms held out offering receiving something She's facing right, Similar to the crouching guy","['a woman in a kimono, sitting on her knees, with her arms held out offering receiving something', ""She's facing right""]"
90,"Bean baby, curving right!","['Bean baby, curving right!']"
91,"Guy puking into triangle (lol) On knees, spike on back Head tilted to the right, NA","['Guy puking into triangle', 'On knees', 'spike on back', 'Head tilted to the right']"
92,Woman in wedding dress with train falling backward Arms and legs to the right,"['Woman in wedding dress with train falling backward', 'Arms and legs to the right']"
93,"Receiving diploma, or maybe a monk holding out hands for offering He's facing the left, Straight body","['Receiving diploma', 'maybe a monk holding out hands for offering', ""He's facing the left"", 'Straight body']"
94,"Looks to me like he's winding up for a baseball pitch or something Legs pointing left, one foot up, head racing right","['winding up for a baseball pitch or something', 'Legs pointing left', 'one foot up', 'head racing right']"
95,"""Meh, whatever"" - leaning to the left, arms up, no legs visible","['leaning to the left, arms up, no legs visible']"
96,"facing right crouching, arms out, maybe on knees","['facing right crouching', 'arms out', 'maybe on knees']"
97,bunny ears!,['bunny ears']
98,"sitting, straight back, facing left,, foot slightly lower","['sitting', 'straight back', 'facing left', 'foot slightly lower']"
99,eww the 'puke' one,"['eww the ""puke"" one']"
100,"wedding dress, falling back, arms out to right, feet poking left","['wedding dress', 'falling back', 'arms out to right', 'feet poking left']"
101,"I think we described as monk, diploma, facing left with arms hands out, like a block","['monk', 'diploma', 'facing left with arms hands out, like a block']"
102,"baseball pitcher-like, without a bat, feet left, one up","['baseball pitcher-like', 'without a bat', 'feet left', 'one up']"
103,"ice skater, left facing","['ice skater', 'left facing']"
104,"erm, flat back, arm and leg right facing, can't remember how we described, totally flat back to the floor","['flat back', 'arm and leg right facing', 'totally flat back to the floor']"
105,meh dude,[]
106,bean baby!,['bean baby']
107,"kneeling, facing right arms to the right out, almost like shoulder to the left","['kneeling', 'facing right', 'arms to the right out, almost like shoulder to the left']"
108,"diploma guy, facing left","['diploma guy, facing left']"
109,bunny ears,['bunny ears']
110,ice skater,['ice skater']
111,"""meh"" guy",There is no description of an image in the given text.
112,"crouching guy, hands out, facing right, flat back let's call him flat back guy, n m, there are more than one flat backs","['crouching guy', 'hands out', 'facing right', 'flat back guy', 'there are more than one flat backs']"
113,"Kimono lady on knees, facing right, slight shoulder facing left","['Kimono lady on knees, facing right, slight shoulder facing left']"
114,bean baby,['bean baby']
115,"wedding train, head back, body facing right, arms up, leg out","['wedding train', 'head back', 'body facing right', 'arms up', 'leg out']"
116,puking into triangle,['puking into triangle']
117,pitcher facing left one foot up,"['pitcher facing left', 'one foot up']"
118,"sad guy on floor, back against wall, head down, knees bent","['sad guy on floor', 'back against wall', 'head down', 'knees bent']"
119,blocky guy,['blocky guy']
120,"Wedding dress, falling back","['Wedding dress, falling back']"
121,Diploma guy monk,['Diploma guy monk']
122,triangle puker lol,['triangle puker']
123,Baseball pitcher,['Baseball pitcher']
124,"""Meh"" guy","""Meh"" guy"
125,Figure skater,['Figure skater']
126,Blocky guy,['Blocky guy']
127,"Kimono lady (on knees, facing right)","['Kimono lady (on knees, facing right)']"
128,"Crouching guy, flat back","['Crouching guy', 'flat back']"
129,bean baby,['bean baby']
130,Bunny guy sitting against wall,['Bunny guy sitting against wall']
131,"Sad guy sitting against wall, facing left","['Sad guy sitting against wall, facing left']"
132,block guy,['block guy']
133,ice skater,['ice skater']
134,bean baby!,['bean baby']
135,"komono ( ) facing right, hand out","['komono facing right, hand out']"
136,"diploma guy, facing left, monk","['diploma guy', 'facing left', 'monk']"
137,"yeah, puke dude",['puke dude']
138,"sad, sitting, flat back , left facing, knees bent","['sad', 'sitting', 'flat back', 'left facing', 'knees bent']"
139,crouching to the right,['crouching to the right']
140,meh guy,['meh guy']
141,baseball pitcher,['baseball pitcher']
142,"wedding dress, falling,, train to the left","['wedding dress', 'falling', 'train to the left']"
143,bunny ears!,['bunny ears']
144,It looks like a guy flying to the left with outstretched wings,['a guy flying to the left with outstretched wings']
145,"A guy bundled up with no arms or legs sticking out, with his knees facing the right so top to bottom is diamond triangle square and a trapezoid looking shape, NA","['A guy bundled up with no arms or legs sticking out, with his knees facing the right so top to bottom is diamond triangle square and a trapezoid looking shape']"
146,"So it looks like a mouse with a pointed triangle head facing the left Top shape is a diamond attached to the triangle hea with another triangle ear The figure is bundled up with a small triangle leg on the left, The leg is just an upward triangle, not a downward one, one ear is a square the other is a triangle shape, square one on left","['a mouse with a pointed triangle head facing the left', 'Top shape is a diamond attached to the triangle head with another triangle ear', 'The figure is bundled up with a small triangle leg on the left', 'The leg is just an upward triangle, not a downward one', 'one ear is a square', 'the other is a triangle shape', 'square one on left']"
