,text,gpt_out
0,jumping off building with hands in the air,['jumping off building with hands in the air']
1,like the a high heeled shoe tough one,['a high heeled shoe']
2,no arms not legs like a necktie with the bottom turned slightly to the right,"['no arms', 'not legs', 'like a necktie', 'with the bottom turned slightly to the right']"
3,like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,"['a baby sitting on floor with arms out', 'a bow on the back of her head', 'she is facing left', 'the bow in on the right']"
4,"kneeling in gown with Bible in hand, facing to the right heel up in back","['kneeling in gown with Bible in hand', 'facing to the right', 'heel up in back']"
5,"Starting to stand after kneeling facing right, Bible still in hand","['Starting to stand after kneeling facing right, Bible still in hand']"
6,"standing, but falling backward facing left right foot in the air arms out","['standing, but falling backward', 'facing left', 'right foot in the air', 'arms out']"
7,Priest standing up straight facing left reading from Bible,['Priest standing up straight facing left reading from Bible']
8,Guy relaxing in the park facing left arms to side (not visible) knees up,"['Guy relaxing in the park facing left', 'arms to side (not visible)', 'knees up']"
9,"standing, but falling forward left leg on ground right foot in air arms out to catch himself, face left","['standing, but falling forward', 'left leg on ground', 'right foot in air', 'arms out to catch himself', 'face left']"
10,kid facing right sitting on butt knees up slightly wearing bunny ears,"['kid facing right', 'sitting on butt', 'knees up slightly', 'wearing bunny ears']"
11,"aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge, not the very edge","['right half of a bowl or plant pot showing with a triangle on the top right edge, not the very edge']"
12,Kneeling with bible facing to the right Heel up,"['Kneeling with bible facing to the right', 'Heel up']"
13,Standing up from kneeling Bible still in hand,['Standing up from kneeling Bible still in hand']
14,Falling off building Arms in air,"['Falling off building', 'Arms in air']"
15,Priest standing with bible Facing to the left,['Priest standing with bible Facing to the left']
16,Bunny ears,['Bunny ears']
17,"Falling backwards, facing left, arms out","['Falling backwards', 'facing left', 'arms out']"
18,Half a pot with triangle on top,['Half a pot with triangle on top']
19,no arms or legs,['no arms or legs']
20,"high heel shoe, facing left","['high heel shoe, facing left']"
21,"baby looking up with arms out, bow on back of head","['baby looking up with arms out', 'bow on back of head']"
22,"arms out in front, back leg up, facing left","['arms out in front', 'back leg up', 'facing left']"
23,"sitting down, facing left, no arms visible","['sitting down', 'facing left', 'no arms visible']"
24,No arms or legs upright,['No arms or legs upright']
25,baby facing left sitting down bow in back of head,"['baby facing left', 'sitting down', 'bow in back of head']"
26,guy falling forward and left one leg up in back,"['guy falling forward', 'left one leg up in back']"
27,kid sitting with bunny ears,['kid sitting with bunny ears']
28,starting to stand with Bible facing right,['starting to stand with Bible facing right']
29,Priest standing facing left with Bible,['Priest standing facing left with Bible']
30,guy relaxing in park facing left arms not visible,['guy relaxing in park facing left']
31,jumping off building to the left arms up,['jumping off building to the left arms up']
32,kneeling to right with Bible,['kneeling to right with Bible']
33,half a bowl or pot with a triangle on top,['half a bowl or pot with a triangle on top']
34,high heel shoe,['high heel shoe']
35,facing left one leg up arms up falling backward,"['facing left', 'one leg up', 'arms up', 'falling backward']"
36,"guy sitting in park, no arms visible, facing left","['guy sitting in park, no arms visible, facing left']"
37,high heel shoe,['high heel shoe']
38,"baby looking up, bow in back of head","['baby looking up', 'bow in back of head']"
39,bunny ears,['bunny ears']
40,"guy falling backward, arms out in front, out*","['guy falling backward, arms out in front']"
41,"priest kneeling with Bible, heel up","['priest kneeling with Bible, heel up']"
42,half a pot with triangle on top,['half a pot with triangle on top']
43,"priest holding Bible, facing left","['priest holding Bible, facing left']"
44,"man with arms out front, back leg up, facing left","['man with arms out front, back leg up, facing left']"
45,"no arms or legs, upright","['no arms or legs, upright']"
46,jumping off building with arms out front,['jumping off building with arms out front']
47,"standing up from kneeling, facing right","['standing up from kneeling, facing right']"
48,priest standing facing left with Bible,['priest standing facing left with Bible']
49,facing left falling arms out one leg up,"['facing left', 'falling arms out', 'one leg up']"
50,high heel shoe,['high heel shoe']
51,half pot or bowl with triangle on top,['half pot or bowl with triangle on top']
52,falling backward (sorry) facing left with arms up one leg out,"['falling backward', 'facing left', 'with arms up', 'one leg out']"
53,jumping off building arms up,"['jumping off building', 'arms up']"
54,bunny ears,['bunny ears']
55,relaxing in park,['relaxing in park']
56,baby left bow in hair arms out,"['baby', 'left bow in hair', 'arms out']"
57,no arms no legs,['no arms no legs']
58,standing up with Bible facing right,['standing up with Bible facing right']
59,kneeling with Bible facing right,['kneeling with Bible facing right']
60,standing up from kneeling,['standing up from kneeling']
61,"jumping off building, arms out","['jumping off building', 'arms out']"
62,"falling backwards, one leg up","['falling backwards', 'one leg up']"
63,"falling forward, arms out front","['falling forward, arms out front']"
64,"priest standing up, facing left","['priest standing up, facing left']"
65,baby with bow on back of head,['baby with bow on back of head']
66,relaxing in park,['relaxing in park']
67,high heel shoe,['high heel shoe']
68,"priest kneeling, heel up, facing right","['priest kneeling, heel up, facing right']"
69,pot with triangle on top,['pot with triangle on top']
70,no arms or legs,['no arms or legs']
71,bunny ears,['bunny ears']
72,"image looks like a person praying facing right, has a diamond shaped head, triangle on side in middle and trapezoid at the bottom","['a person praying facing right', 'diamond shaped head', 'triangle on side in middle', 'trapezoid at the bottom']"
73,"sort of x shaped, square head, long trapezoid at bottom, also has right angled triangle at bottom","['sort of x shaped', 'square head', 'long trapezoid at bottom', 'also has right angled triangle at bottom']"
74,"has square top right, image looks like a person kicking, also has a triangle at top, looks like it is looking to the ground","['square top right', 'person kicking', 'triangle at top', 'looking to the ground']"
75,"has a square in middle, top has 2 triangles coming off square, has 2 large triangles joined together at bottom, triangles at top are both right angles","['a square in middle', 'top has 2 triangles coming off square', '2 large triangles joined together at bottom', 'triangles at top are both right angles']"
76,"image looks like a lowercase i, has diamond head, triangle coming off that Large square in middle","['lowercase i', 'diamond head', 'triangle coming off that', 'Large square in middle']"
77,image looks like a person sitting down facing left,['a person sitting down facing left']
78,"image looks like person praying facing left, diamond head, has a square with a pointed top in the middle facing left, also a small triangle at the bottom facing left","['person praying facing left', 'diamond head', 'square with a pointed top in the middle facing left', 'small triangle at the bottom facing left']"
79,"has a diamond head, 2 triangles in the middle facing down, looks like a person with their arms out, also at bottom as a triangle coming off body on the left","['a diamond head', '2 triangles in the middle facing down', 'looks like a person with their arms out', 'also at bottom as a triangle coming off body on the left']"
80,"image looks like a person praying facing right Bottom part has pointed part on the left, the point at the bottom left is facing up","['a person praying facing right', 'Bottom part has pointed part on the left, the point at the bottom left is facing up']"
81,"image looks abit like a figure skater, one leg is down and the other is facing right","['a figure skater', 'one leg is down', 'the other is facing right']"
82,image looks like a person with both arms up Body is a rectangle leaning right,"['a person with both arms up', 'Body is a rectangle leaning right']"
83,"has a diamond head right side of body is straight down Has a small triangle facing right near neck area, and one small triangle facing right at the bottom","['diamond head right side of body is straight down', 'small triangle facing right near neck area', 'one small triangle facing right at the bottom']"
84,"It is a person with a diamond head and is standing straight and is holding something, facing the left, The body is a rectangle and it has a square attached to the middle of the body","['a person with a diamond head', 'standing straight', 'holding something', 'facing the left', 'The body is a rectangle', 'it has a square attached to the middle of the body']"
85,It is like someone kicking a ball with a square in the top right hand corner,['someone kicking a ball with a square in the top right hand corner']
86,It has rabbit bunny ears on top of a square,['rabbit bunny ears on top of a square']
87,"it's like a person bending their knees with their arms extended facing the right, diamond head, the body is a rectangle there is a triangle coming from the body, the base is a trapezium","['a person bending their knees with their arms extended facing the right', 'diamond head', 'the body is a rectangle', 'there is a triangle coming from the body', 'the base is a trapezium']"
88,"Diamond head on top of rectangle body and it only has a small rectangle at the bottom which is pointing to the right, at the bottom is a small triangle","['Diamond head on top of rectangle body', 'small rectangle at the bottom which is pointing to the right', 'small triangle at the bottom']"
89,"it has a square head at the top and a triangle attached to it At the bottom on the left is a small triangle, the square at the top looks like it is falling, the body is rectangle and has a triangle on the right and a trapezium left","['a square head at the top', 'a triangle attached to it', 'At the bottom on the left is a small triangle', 'the square at the top looks like it is falling', 'the body is rectangle', 'has a triangle on the right', 'a trapezium left']"
90,"It looks like an X shape with a rectangle at the top left and a triangle at the bottom right, bottom left is a trapezium","['an X shape with a rectangle at the top left', 'a triangle at the bottom right', 'bottom left is a trapezium']"
91,It like a ballet dancer with their foot raised at the back and 2 arms are facing the left,"['a ballet dancer with their foot raised at the back', '2 arms are facing the left']"
92,A person kneeling to pray There is a triangle facing upwards at the bottom of the picture,"['A person kneeling to pray', 'There is a triangle facing upwards at the bottom of the picture']"
93,"diamond head, rectangle body with one triangle at the top of the rectangle and another at the bottom of the rectangle, the body almost looks like a full rectangle but parts of it has been cut out","['diamond head', 'rectangle body with one triangle at the top of the rectangle and another at the bottom of the rectangle', 'the body almost looks like a full rectangle but parts of it has been cut out']"
94,"A person sitting down and their face is down turned, they are looking at the ground and the knees are bent, square head, there is a right angled triangle where the feet are","['A person sitting down and their face is down turned', 'they are looking at the ground', 'the knees are bent', 'square head', 'there is a right angled triangle where the feet are']"
95,"Person with their hands in the air, diamond head, looks like it is leaning towards the left","['Person with their hands in the air', 'diamond head', 'leaning towards the left']"
96,"diamond head, person praying facing left, small triangle at bottom facing left, has a square coming body with point at top, facing left","['diamond head', 'person praying facing left', 'small triangle at bottom facing left', 'has a square coming body with point at top, facing left']"
97,"looks like person praying facing right, bent knees, trapezoid at bottom, diamond head, down facing triangle on right, trapezium on bottom","['person praying facing right', 'bent knees', 'trapezoid at bottom', 'diamond head', 'down facing triangle on right', 'trapezium on bottom']"
98,looks like person kneeling to pray facing right Bottom extending bottom on left with a point facing up,"['person kneeling to pray facing right', 'Bottom extending bottom on left with a point facing up']"
99,"diamond head mainly rectangle body, right side goes straight down small downwards triangle near neck and small triangle at bottom","['diamond head mainly rectangle body', 'right side goes straight down', 'small downwards triangle near neck', 'small triangle at bottom']"
100,person sitting down facing left,['person sitting down facing left']
101,"diamond head, both arms up in the air body rectangle leaning right","['diamond head', 'both arms up in the air', 'body rectangle leaning right']"
102,"x shaped, square top left, triangle bottom right, trapezium bottom left","['x shaped', 'square top left', 'triangle bottom right', 'trapezium bottom left']"
103,"figure skater, leg down other facing right","['figure skater', 'leg down', 'other facing right']"
104,"similar to lower case i, diamond head, triangle neck, rectangle body, lean to right at bottom, triangle on its side facing right at the bottom","['similar to lower case i', 'diamond head', 'triangle neck', 'rectangle body', 'lean to right at bottom', 'triangle on its side facing right at the bottom']"
105,"person kicking a ball, square top right, triangle looking down","['person kicking a ball', 'square top right', 'triangle looking down']"
106,square head with 2 triangles like bunny ears,['square head with 2 triangles like bunny ears']
107,"diamond head, 2 triangles facing down for body small triangle at bottom left, Triangles for body look like arms are stretch out, middle triangle on right is a right angle","['diamond head', '2 triangles facing down for body', 'small triangle at bottom left', 'Triangles for body look like arms are stretch out', 'middle triangle on right is a right angle']"
108,"lower case 'i', diamond head, triangle neck","['lower case i', 'diamond head', 'triangle neck']"
109,"Person with hand in the air, diamond head, body is leaning to the left, with raised arms","['Person with hand in the air', 'diamond head', 'body is leaning to the left', 'raised arms']"
110,person kicking ball and is looking down,"['person kicking ball', 'looking down']"
111,"Diamond head with a triangle attached to it at the top The body is rectangle with another triangle by the neck area, another triangle and the bottom, the head is on the right side of the body","['Diamond head with a triangle attached to it at the top', 'The body is rectangle with another triangle by the neck area', 'another triangle and the bottom', 'the head is on the right side of the body']"
112,"person praying, facing the left, diamond head, rectangle body with square coming from body","['person praying', 'facing the left', 'diamond head', 'rectangle body with square coming from body']"
113,"person sitting on the ground and their face is looking at the ground, has bent knees, the feet is a triangle, the head is a diamond","['person sitting on the ground', 'their face is looking at the ground', 'has bent knees', 'the feet is a triangle', 'the head is a diamond']"
114,ballet dancer with a leg raised at the back and hands outstretched,['ballet dancer with a leg raised at the back and hands outstretched']
115,"person on their knees to pray, there is a small triangle facing upwards behind the person","['person on their knees to pray', 'small triangle facing upwards behind the person']"
116,"person with bent knees, facing the right, diamond head","['person with bent knees', 'facing the right', 'diamond head']"
117,square with bunny ears,['square with bunny ears']
118,"X' shaped with a square head on the left side, 2 triangles on the right side one at the top and the other and the bottom","['X\' shaped with a square head on the left side', '2 triangles on the right side one at the top and the other and the bottom']"
119,"diamond head, body looks like a rectangle with some of the right side cutaway","['diamond head', 'body looks like a rectangle with some of the right side cutaway']"
120,"person praying facing right, trapezium at bottom, diamond head, rectangle body with downward triangle on right, bent knees","['person praying facing right', 'trapezium at bottom', 'diamond head', 'rectangle body with downward triangle on right', 'bent knees']"
121,"diamond head slightly to right of body Body is a rectangle with downward triangle combined with another triangle to right Also small triangle bottom left, middle triangle is a right angle facing downwards","['diamond head slightly to right of body', 'Body is a rectangle with downward triangle combined with another triangle to right', 'Also small triangle bottom left, middle triangle is a right angle facing downwards']"
122,"person praying facing left, square with point on left coming off body","['person praying facing left', 'square with point on left coming off body']"
123,"lowercase i, triangle neck, rectangle body with lean right at bottom","['lowercase i', 'triangle neck', 'rectangle body with lean right at bottom']"
124,person sitting down facing left,['person sitting down facing left']
125,"figure skater, leg down and other to right","['figure skater', 'leg down', 'other to right']"
126,"person kicking ball, square top right, triangle looking down","['person kicking ball', 'square top right', 'triangle looking down']"
127,"x shaped, square top left, triangle top right","['x shaped', 'square top left', 'triangle top right']"
128,"person praying facing right, triangle at bottom facing upwards","['person praying facing right', 'triangle at bottom facing upwards']"
129,"diamond head with both arms up, rectangle body leaning right","['diamond head with both arms up', 'rectangle body leaning right']"
130,square with bunny ears,['square with bunny ears']
131,"diamond head, body mainly rectangle with small triangle near neck on right","['diamond head', 'body mainly rectangle with small triangle near neck on right']"
132,"looks like a lowercase 'i', triangle neck, diamond head","['lowercase ""i""', 'triangle neck', 'diamond head']"
133,"person with both arms raised, body is leaning to the left","['person with both arms raised, body is leaning to the left']"
134,"diamond head, body is mainly rectangle with a triangle in the neck area","['diamond head', 'body is mainly rectangle with a triangle in the neck area']"
135,"person facing left, rectangle body with a square sticking out","['person facing left', 'rectangle body with a square sticking out']"
136,square with bunny ears,['square with bunny ears']
137,"person on their knees, small triangle facing up at the bottom, looks like they are praying","['person on their knees', 'small triangle facing up at the bottom', 'looks like they are praying']"
138,person sitting looking at the floor,['person sitting looking at the floor']
139,"person with bent knees, facing right, diamond head","['person with bent knees', 'facing right', 'diamond head']"
140,square at the top with a triangle attached to it They are slightly to the right,['square at the top with a triangle attached to it']
141,ballet dancer with leg raised at the back,['ballet dancer with leg raised at the back']
142,"person kicking ball, looking down with square at the top right corner","['person kicking ball', 'looking down', 'square at the top right corner']"
143,X shaped with a square to the left side and 2 triangles on the right side,['X shaped with a square to the left side and 2 triangles on the right side']
144,Someone kneeling down with arms at the side of their shoulders level and pointing outwards,['Someone kneeling down with arms at the side of their shoulders level and pointing outwards']
145,Same as you picked last time,['Same as you picked last time']
146,"Square on top, kneeling down arms forward","['Square on top, kneeling down arms forward']"
147,Looks like a box with wings at the top of a steep hill,['a box with wings at the top of a steep hill']
148,Someone standing on one leg with a straight up body,['Someone standing on one leg with a straight up body']
149,"Square on top, block straight body with small triangle at the foot pointing to the screens right","['Square on top', 'block straight body with small triangle at the foot pointing to the screens right']"
150,"Arms spread wide, leaning backwards","['Arms spread wide, leaning backwards']"
151,Same as you picked last time,['Same as you picked last time']
152,"Square on top, sitting down and hunched over","['Square on top, sitting down and hunched over']"
153,"Square on top, standing, looking like praying, pointing to left of the screen","['Square on top, standing, looking like praying, pointing to left of the screen']"
154,"Standing on one leg, small triangle on the right of the figure","['Standing on one leg', 'small triangle on the right of the figure']"
155,"Large block, square on top small triangle pointing to the right of the screen Left side of figure completely flat","['Large block', 'square on top', 'small triangle pointing to the right of the screen', 'Left side of figure completely flat']"
156,"looks like praying, pointing to the right","['praying, pointing to the right']"
157,one you picked last time,There is no description of an image in the given text.
158,looks like a bear carrying a flag,['a bear carrying a flag']
159,arms stretched leaning forward,['arms stretched leaning forward']
160,box on the top of a hill one,['box on the top of a hill']
161,looks like a snowman,['a snowman']
162,"kneeling down, arms stretched, wee triangle behind it","['kneeling down', 'arms stretched', 'wee triangle behind it']"
163,looks like a waitress carrying a tray,['a waitress carrying a tray']
164,flat left hand side,['flat left hand side']
165,lying back arms stretched,['lying back arms stretched']
166,ice skater on one leg,['ice skater on one leg']
167,sitting down leaning forward,['sitting down leaning forward']
168,"Sitting with back to wall, small triangle bottom right pointing right",['small triangle bottom right pointing right']
169,"Kneeling praying pointing right, Square on top","['Kneeling praying pointing right', 'Square on top']"
