,text,gpt_out
0,"The picture of the person kneeling at a lectern is the one to choose Almost looks like someone kneeling at Catholic church, The back is straight not indented","['The picture of the person kneeling at a lectern is the one to choose', 'Almost looks like someone kneeling at Catholic church', 'The back is straight not indented']"
1,"Ok this one shows the person kicking their right foot forward not backward, Other foot on the grown square head back, ground","['the person kicking their right foot forward not backward', 'Other foot on the ground', 'square head back']"
2,"This shows the person leaning forward, arms outstretched like they're about to fly","['person leaning forward, arms outstretched like they\'re about to fly']"
3,This one has the head like a diamond over an almost completely square body with only a triangle pointing out to one side on the very top shoulder,"['the head like a diamond', 'an almost completely square body', 'only a triangle pointing out to one side on the very top shoulder']"
4,"This one looks like it has two horse hooves sticking out, with the head on the back side and the bottom long and flat along the ground","['two horse hooves sticking out', 'head on the back side', 'bottom long and flat along the ground']"
5,"This one looks like a professor standing straight up at a podium back is straight, bottom has ""foot"" triangle under podium,, Not fat","['a professor standing straight up at a podium', 'back is straight', 'bottom has ""foot"" triangle under podium', 'Not fat']"
6,"Ok this one is the one a couple of you chose as wrong on the last one Looks like a person kneeling, with two diamond shapes on top of each other in a direct straight line, kneeling with a triangle pointing straight up on the ""backside ""","['a person kneeling', 'two diamond shapes on top of each other in a direct straight line', 'kneeling with a triangle pointing straight up on the ""backside""']"
7,"This one has 3 shapes on top A triangle showing 2 sides on the left, a square in the middle and a full triangle on the right with a slumped ""body"" underneath","['A triangle showing 2 sides on the left', 'a square in the middle', 'a full triangle on the right with a slumped ""body"" underneath']"
8,"This one looks like a pregnant or fat woman sitting down on a cube with square head bent forward, curb, Bent knee","['a pregnant or fat woman sitting down on a cube with square head bent forward, curb, Bent knee']"
9,This one shows a person shaped like a solid cube kneeling,['a person shaped like a solid cube kneeling']
10,"This one the head looks like a pinwheel, two triangles on top of a cube square, with the body, 2 triangles slanted against each other, 1 large and a smaller one,","['the head looks like a pinwheel', 'two triangles on top of a cube square', 'with the body', '2 triangles slanted against each other', '1 large and a smaller one']"
