,text,gpt_out
0,"It looks like a person kneeling, facing to the right and with their head turned upwards","['a person kneeling, facing to the right and with their head turned upwards']"
1,"The figure is sitting on the ground, facing to the left with their knees up and their feet on the ground","['The figure is sitting on the ground, facing to the left with their knees up and their feet on the ground']"
2,"The figure is leaning sharply to the left, with their arms in the air, There are no legs visible","['The figure is leaning sharply to the left', 'with their arms in the air', 'There are no legs visible']"
3,"It looks like someone standing, facing left, perhaps holding a book or a tray in front of their chest","['someone standing, facing left, perhaps holding a book or a tray in front of their chest']"
4,"Someone sitting on the ground, facing right, wearing a fancy headdress","['Someone sitting on the ground, facing right, wearing a fancy headdress']"
5,"Someone facing right, standing with their knees bent, arms in front of them holding something at chest height","['Someone facing right', 'standing with their knees bent', 'arms in front of them holding something at chest height']"
6,"I think it's someone kneeling, facing right There's a triangle coming from where their mouth would be","['someone kneeling, facing right', 'a triangle coming from where their mouth would be']"
7,"Someone standing with their feet pointing left, one leg in the air, arms raised and their head looking right, The raised leg is in front of their body, not behind","['Someone standing with their feet pointing left, one leg in the air, arms raised and their head looking right', 'The raised leg is in front of their body, not behind']"
8,"Not sure of the posture The head is pointing left, there's a small triangle at bottom right of the image Is that enough, Probably sitting on the ground, I can't see any arms There's a sort of triangle behind the head","['The head is pointing left', 'there's a small triangle at bottom right of the image', 'Probably sitting on the ground', 'There's a sort of triangle behind the head']"
9,"The body is just a block on the left, a triangle sticking out of the top of it on the right, a triangular shape cut out at the bottom right","['a block on the left', 'a triangle sticking out of the top of it on the right', 'a triangular shape cut out at the bottom right']"
10,"Quite a blocky looking body, with a small triangle sticking out of it at bottom right","['Quite a blocky looking body, with a small triangle sticking out of it at bottom right']"
11,Someone leaning forward with one leg in the air behind them,['Someone leaning forward with one leg in the air behind them']
12,Standing facing left and holding something at chest height in front of them,['Standing facing left and holding something at chest height in front of them']
13,"Blocky body, small triangle sticking out at bottom right","['Blocky body', 'small triangle sticking out at bottom right']"
14,"Kneeling, facing right, arms holding something in front of chest","['Kneeling, facing right, arms holding something in front of chest']"
15,"Weird posture, probably sitting on ground, facing left, small triangle at bottom right and another one behind the head","['Weird posture', 'probably sitting on ground', 'facing left', 'small triangle at bottom right', 'another one behind the head']"
16,"Sitting, facing right, fancy headdress (rabbit ear triangles)","['Sitting, facing right, fancy headdress (rabbit ear triangles)']"
17,"Leaning very far to the left, arms in the air, no legs","['Leaning very far to the left', 'arms in the air', 'no legs']"
18,"standing facing right, knees bent, holding something in front of chest","['standing facing right', 'knees bent', 'holding something in front of chest']"
19,"sitting facing left, knees bent","['sitting facing left, knees bent']"
20,"one leg in air to the left, arms up, head facing right","['one leg in air to the left', 'arms up', 'head facing right']"
21,"Kneeling, triangle sticking out of head to the right, another triangle sticking out of body at top left","['Kneeling', 'triangle sticking out of head to the right', 'another triangle sticking out of body at top left']"
22,body is just a straight line on the left,['body is just a straight line on the left']
23,"leaning forward with one leg up behind, facing left","['leaning forward with one leg up behind, facing left']"
24,"Leaning far to the left, arms up, no legs","['Leaning far to the left, arms up, no legs']"
25,"one leg up to the left, head facing right, arms up to the left","['one leg up to the left', 'head facing right', 'arms up to the left']"
26,"sitting facing left, knees up","['sitting facing left, knees up']"
27,"standing facing right, knees bent","['standing facing right, knees bent']"
28,"sitting facing right, rabbit ears","['sitting facing right', 'rabbit ears']"
29,"standing facing left, holding something","['standing facing left, holding something']"
30,"sitting facing left, two small triangles sticking out to the right","['sitting facing left', 'two small triangles sticking out to the right']"
31,"kneeling, triangle coming out of mouth","['kneeling', 'triangle coming out of mouth']"
32,"one leg up behind, leaning forward","['one leg up behind', 'leaning forward']"
33,"kneeling facing left, holding something, yes, sorry, facing right","['kneeling facing left', 'holding something', 'facing right']"
34,left side of body is a straight line,['left side of body is a straight line']
35,"blocky body, little triangle at bottom right","['blocky body', 'little triangle at bottom right']"
36,"triangle coming out of mouth, kneeling","['triangle coming out of mouth', 'kneeling']"
37,"kneeling facing right, holding something","['kneeling facing right, holding something']"
38,"leaning far to the left, no legs, arms in the air","['leaning far to the left', 'no legs', 'arms in the air']"
